N,cap,sol_val,op,method
16,20,3905,2174,brute-force
16,20,3905,1048588,exhaustive-search
16,22,2791,559,bottom-up
16,22,2791,532,top-down
16,22,2791,622,backtracking
16,22,2329,82,greedy
16,22,2791,1121,brute-force
16,22,2791,1048588,exhaustive-search
16,24,2962,620,bottom-up
16,24,2962,337,top-down
16,24,2962,738,backtracking
16,24,2962,80,greedy
16,24,2962,1430,brute-force
16,24,2962,1048584,exhaustive-search
16,26,3051,648,bottom-up
16,26,3051,462,top-down
16,26,3051,337,backtracking
16,26,2961,86,greedy
16,26,3051,1279,brute-force
16,26,3051,1048590,exhaustive-search
16,28,2741,685,bottom-up
16,28,2741,551,top-down
16,28,2741,658,backtracking
16,28,2741,89,greedy
16,28,2741,1051,brute-force
16,28,2741,1048585,exhaustive-search
16,30,3282,728,bottom-up
16,30,3282,485,top-down
16,30,3282,487,backtracking
16,30,3112,68,greedy
16,30,3282,839,brute-force
16,30,3282,1048582,exhaustive-search
16,32,2828,820,bottom-up
16,32,2828,601,top-down
16,32,2828,472,backtracking
16,32,2828,97,greedy
16,32,2828,1599,brute-force
16,32,2828,1048593,exhaustive-search
18,8,3227,253,bottom-up
18,8,3227,398,top-down
18,8,3227,1252,backtracking
18,8,3227,128,greedy
18,8,3227,2583,brute-force
18,8,3227,4718601,exhaustive-search
18,10,3073,311,bottom-up
18,10,3073,434,top-down
18,10,3073,1441,backtracking
18,10,3073,102,greedy
18,10,3073,3534,brute-force
18,10,3073,4718605,exhaustive-search
18,12,3150,359,bottom-up
18,12,3150,485,top-down
18,12,3150,956,backtracking
18,12,3127,104,greedy
18,12,3150,1800,brute-force
18,12,3150,4718600,exhaustive-search
18,14,1373,375,bottom-up
18,14,1373,311,top-down
18,14,1373,484,backtracking
18,14,1255,94,greedy
18,14,1373,591,brute-force
18,14,1373,4718600,exhaustive-search
18,16,3991,473,bottom-up
18,16,3991,504,top-down
18,16,3991,1421,backtracking
18,16,3991,100,greedy
18,16,3991,2629,brute-force
18,16,3991,4718607,exhaustive-search
18,18,3600,523,bottom-up
18,18,3600,675,top-down
18,18,3600,883,backtracking
18,18,3600,95,greedy
18,18,3600,2185,brute-force
18,18,3600,4718605,exhaustive-search
18,20,3707,604,bottom-up
18,20,3707,688,top-down
18,20,3707,1810,backtracking
18,20,3383,103,greedy
18,20,3707,5794,brute-force
18,20,3707,4718609,exhaustive-search
18,22,1831,638,bottom-up
18,22,1831,855,top-down
18,22,1831,2081,backtracking
18,22,1831,79,greedy
18,22,1831,3125,brute-force
18,22,1831,4718608,exhaustive-search
18,24,4030,704,bottom-up
18,24,4030,755,top-down
18,24,4030,1148,backtracking
18,24,4030,117,greedy
18,24,4030,3598,brute-force
18,24,4030,4718609,exhaustive-search
18,26,2625,712,bottom-up
18,26,2625,955,top-down
18,26,2625,839,backtracking
18,26,2625,92,greedy
18,26,2625,1447,brute-force
